#{"t_start": 1780030921.827414, "env_id": "None"}
r,l,t
-609.190213,95,11.154027
-132.681045,7,13.625462
-1183.093472,213,38.788348
-303.313449,50,45.858459
-2884.284509,735,128.863997
-910.063457,240,157.05688
-162.078455,13,160.053738
-244.640253,75,169.873634
-102.34916,1,171.535519
-374.489133,78,181.717387
-102.195739,1,183.375302
-849.381262,360,224.759552
-271.595558,23,227.337474
-201.406284,16,230.640303
-206.963669,19,234.312706
-226.828371,20,238.068972
-160.085822,9,240.630199
-155.611883,36,246.19329
-4893.383216,1188,379.320951
-155.192394,16,382.631491
-135.42965,126,398.070649
-103.944804,1,399.725732
-120.726276,16,403.04413
-678.310293,223,429.291962
-439.412758,269,460.717497
-430.737095,183,482.482805
-103.60137,1,484.151607
-332.172512,38,489.885328
193.301389,120,504.749597
-621.550614,417,550.729293
-253.461313,41,556.804157
-242.316208,25,561.115412
-185.272167,149,579.139667
-235.923716,24,583.357013
-161.123102,17,586.772866
-373.395553,166,606.588735
-184.13667,14,609.688204
-314.758655,188,631.958935
116.104277,83,642.657883
-146.558127,89,652.559958
-218.988734,22,656.532454
-103.4133,1,658.199587
-3250.540011,962,765.780838
-103.231754,1,767.438117
-308.957498,148,785.306246
-187.571906,18,788.841968
-100.65602,1,790.501149
-100.167835,7,792.820803
-160.340995,18,796.350916
-102.344501,1,798.010933
-134.074403,15,801.229613
-103.955479,1,802.883922
-195.209865,16,806.193439
-103.631259,1,807.843124
-247.571985,25,812.150726
-411.539919,206,836.406968
-320.371212,355,877.077844
-70.834433,216,902.451816
-242.998249,26,906.853707
-132.307639,27,911.364475
-105.451548,1,913.013589
-101.430474,1,914.674281
-777.977971,320,951.475902
-238.628878,50,958.543551
-104.899962,1,960.207546
-167.690998,24,964.433565
-101.99706,1,966.082183
-118.153425,5,968.184144
127.561626,52,975.486512
-407.149697,104,986.975462
-323.096646,35,992.379689
-196.310632,22,996.363161
-167.336652,82,1006.925528
-103.763694,1,1008.57979
-119.548877,79,1018.824977
56.49043,56,1026.541514
-536.862696,294,1058.965552
-447.411963,165,1077.237908
-480.425957,251,1106.491431
-156.71437,123,1121.612347
-1344.140298,474,1175.586361
-357.357568,79,1185.823083
-184.172093,36,1191.345653
-242.555648,230,1218.274597
-300.222268,182,1239.875204
-123.119969,10,1242.525547
-130.938696,9,1245.09014
-132.260728,9,1247.615589
-393.421677,217,1273.098732
-241.597012,189,1295.494872
-258073.869333,42138,5946.223701
-181.655151,13,5949.22312
-55033.605012,8591,6898.185985
-281.531994,34,6903.463513
-104.088314,1,6905.131631
-129.130574,18,6908.6476
-102.225023,1,6910.292301
-226.392935,19,6913.948909
-105.7278,1,6915.606724
-213.058716,19,6919.25118
-150.38015,13,6922.235698
-190.194554,13,6925.233007
-103.410085,1,6926.901679
-136.781019,20,6930.680952
-209.854377,17,6934.114117
-160.707317,10,6936.740835
-164.0945,10,6939.36397
-103.939486,1,6941.021223
-158.278567,21,6944.925708
-167.286089,10,6947.556723
-106.030842,1,6949.20912
-204.147984,15,6952.384248
-151.722789,10,6955.033445
-105.900138,1,6956.688406
-260.009143,38,6962.426428
-102.928724,1,6964.094151
-201.997174,25,6968.402873
-245.57295,24,6972.58441
-137.683492,11,6975.342504
-139.153143,19,6979.002827
-172.053536,13,6982.00195
-103.797246,1,6983.657647
-181.539502,13,6986.628571
-104.09078,1,6988.288195
-146.053497,24,6992.478633
-182.347441,15,6995.692387
-175.742013,10,6998.36841
-104.158764,1,7000.043058
-199.315225,18,7003.564168
-104.477119,1,7005.223725
-201.21144,19,7008.864518
-106.171909,1,7010.527763
-187.804241,21,7014.388112
-145.675368,13,7017.366178
-176.162127,17,7020.788256
-180.385453,22,7024.777823
-172.658134,20,7028.521294
-103.644748,1,7030.185669
-192.422675,16,7033.494528
-104.714858,1,7035.143062
-310.506384,37,7040.760525
-202.552424,18,7044.296493
-104.352735,1,7045.951862
-187.492784,14,7049.041014
-102.03578,1,7050.700626
-162.805725,18,7054.234717
-102.853995,1,7055.887453
-153.984741,7,7058.204039
-178.521627,10,7060.857702
-104.820026,1,7062.523874
-210.126057,20,7066.277052
-105.646336,1,7067.940706
-335.116736,92,7079.641518
-188.054719,13,7082.626477
-104.477877,1,7084.27892
-195.214239,16,7087.580947
-104.525963,1,7089.237094
-14516.208103,3957,7527.42895
-104.041451,1,7529.078711
-187.685678,16,7532.401435
-106.069402,1,7534.049979
-435.975729,49,7541.01579
-498.106099,81,7551.483343
-104.448628,1,7553.141136
-260.987459,24,7557.343227
-105.820895,1,7559.000654
-3157.211763,748,7643.065131
-104.386371,1,7644.719368
-503.63645,189,7667.136424
-162.510486,11,7669.88924
-102.151344,1,7671.540554
-203.447181,17,7674.985056
-103.052231,1,7676.65507
-147.148385,26,7681.03003
-127.399394,16,7684.346788
-143.502246,11,7687.106782
-179.534601,14,7690.195761
-156.843135,25,7694.492937
-225.900391,31,7699.453169
-1965.168381,573,7764.15488
-148.042802,16,7767.472433
-149.849379,15,7770.684717
-769.425631,238,7798.42643
-103.66295,1,7800.087225
-227.515445,22,7804.031898
-119.633243,7,7806.352979
-124.542635,25,7810.655821
-102.25487,1,7812.321257
-156.035176,19,7815.971514
-1772.479216,330,7853.895761
-104.408574,1,7855.551377
-150.827749,20,7859.315392
-118.664341,16,7862.619509
-98.163237,15,7865.832039
-5807.590006,1290,8009.659227
-101.56506,1,8011.316982
-566.129911,132,8027.41689
-149.877413,13,8030.380872
-100.94552,1,8032.036479
-132.873146,14,8035.115146
-138.352398,11,8037.859097
-103.915512,1,8039.509435
-119.922652,14,8042.607444
-144.838971,10,8045.260976
-206.339704,43,8051.559545
-104.24617,1,8053.21778
-165.225865,32,8058.310019
-266.406764,39,8064.162365
-124.267426,18,8067.700474
-161.986137,23,8071.788679
-125.83095,8,8074.237733
-135.414054,15,8077.405801
-103.555568,1,8079.066519
-128.322595,23,8083.148793
-244.871775,24,8087.35023
-104.311302,1,8089.003325
-125.442385,13,8091.979625
-113.393787,11,8094.727024
-10542.588837,3081,8436.141435
-161.307237,16,8439.455451
-189.089428,30,8444.349573
-103.137702,1,8446.005256
-109.153218,4,8447.998243
-139.961545,13,8450.965247
-146.04414,20,8454.7374
-279.395797,55,8462.354219
-205.016404,56,8470.089946
-304.039592,30,8474.944767
-213.626087,19,8478.596317
-295.686009,33,8483.777308
-274.165601,35,8489.173928
-102.193252,1,8490.832778
-383.22217,62,8499.229232
-101.605196,1,8500.897482
-103.801017,1,8502.545971
-132.004894,11,8505.300435
-160.397107,19,8508.949522
-103.324085,1,8510.614031
-170.330581,60,8518.758319
-257.866382,63,8527.262311
195.641413,1,8528.912372
-207.158307,20,8531.156486
-197.00264,20,8534.895588
-103.795832,1,8536.547261
-237.338578,35,8541.951595
-279.665869,72,8551.449426
125.517842,35,8556.848036
-185.673098,37,8560.960538
-105.596621,1,8562.60726
-235.131523,22,8566.601424
-106.159265,1,8568.261084
-880.832118,135,8584.663895
-304.877658,34,8589.939949
-4282.463017,1899,8801.144995
-795.104004,150,8819.196048
-137.992887,17,8822.629581
-263.650292,121,8837.532869
-104.156049,1,8839.189044
-178.151086,13,8842.171776
-104.564849,1,8843.83342
-179.554658,14,8846.913366
-104.327962,1,8848.564487
-177.479035,14,8851.6499
-104.324775,1,8853.309916
-148.207542,53,8860.660251
-132.711512,24,8864.838339
-139.690249,25,8869.144723
-103.75233,1,8870.799513
-345.58174,188,8893.068484
-128.037128,10,8895.719595
-173.983334,18,8899.246051
-155.664822,14,8902.339158
-101.089459,1,8903.98292
-102.935502,12,8906.873771
-104.559245,1,8908.533046
-151.902887,12,8911.400177
-104.184864,1,8913.050363
-186.311575,16,8916.349026
-182.422108,18,8919.871495
-103.715597,1,8921.527629
-177.178002,42,8927.685963
-221.770197,20,8931.429995
-388.562327,151,8949.608529
-104.315414,1,8951.277858
-290.463247,32,8956.34203
-612.224088,82,8966.930236
-102.539712,1,8968.588921
-336.959123,33,8973.750774
-190.498648,11,8976.507853
-105.872727,1,8978.160298
-179.303674,12,8981.040464
-102.190611,1,8982.709954
-248.519951,154,9001.255335
-100.599955,1,9002.907199
-227.100314,122,9017.869884
-104.345732,1,9019.52527
-122.823403,22,9023.532829
-104.096527,1,9025.189757
-239.337119,24,9029.381823
-104.080039,1,9031.030668
-227.913135,21,9034.89324
-230.443166,29,9039.626514
-245.688166,23,9043.687572
-138.804182,15,9046.87892
-104.824458,1,9048.535869
-209.466954,17,9051.94334
-194.259784,17,9055.394602
-105.7843,1,9057.053117
-216.6102,18,9060.622833
-104.311144,1,9062.279833
-137.267115,9,9064.814121
-141.039701,10,9067.449631
-144.993925,9,9070.001362
-103.395306,1,9071.667006
-204.204339,25,9075.950065
-104.59447,1,9077.605289
-157.381665,16,9080.923184
-137.581299,7,9083.250557
-125.056016,5,9085.35377
-176.658196,13,9088.32189
-103.369631,1,9089.988606
-125.14202,11,9092.729429
-165.740964,11,9095.476796
-98.578797,18,9099.014231
-166.768902,17,9102.42707
-283.882141,175,9123.282956
-106.123423,1,9124.933142
-111.175778,19,9128.570873
-104.149099,1,9130.215685
-226.197675,20,9133.962517
-104.863961,1,9135.604874
-196.781863,13,9138.583672
-105.593815,1,9140.234038
-105.540653,1,9141.883894
-196.239533,18,9145.444489
-110.905798,2,9147.21603
-105.558673,1,9148.87447
-133.222803,7,9151.195976
-165.713022,12,9154.078362
-182.114604,12,9156.953935
-164.047461,48,9163.780014
-106.084373,1,9165.42952
-162.261421,13,9168.408256
-144.129225,12,9171.291214
-104.421725,1,9172.951354
-303.284398,30,9177.802761
-638.830131,611,9246.692227
-103.948287,1,9248.351781
-197.188779,22,9252.319429
-100.971639,1,9253.976074
-129.407452,13,9256.951599
-136.651345,21,9260.825139
-104.653332,1,9262.489979
-102.142356,18,9266.009097
-171.844883,12,9268.879024
-101.892238,1,9270.537694
-288.477685,28,9275.166053
-146.451545,7,9277.478664
-149.034182,8,9279.900651
-148.51553,16,9283.194225
-102.867237,1,9284.8606
-133.885215,18,9288.387389
-129.497522,27,9292.922399
-242.836519,19,9296.552401
-106.020583,1,9298.207352
-103.343038,1,9299.871388
-120.269688,28,9304.528805
-102.006912,1,9306.184226
-238.716977,18,9309.728615
-102.483243,1,9311.391891
-133.86701,49,9318.359853
-100.760035,1,9320.019411
-715.031035,177,9341.064616
-104.523253,1,9342.71467
-120.053873,12,9345.573486
-242.210102,133,9361.824743
-216.999344,126,9377.245527
-98.962822,1,9378.892451
-156.143199,13,9381.870185
-102.995937,1,9383.532605
-139.745558,8,9385.970892
-182.711254,90,9397.469037
-103.200665,1,9399.136631
-257.006655,62,9407.506934
-104.217182,1,9409.17116
-114.245622,12,9412.034862
-249.910716,24,9416.2272
-103.407145,1,9417.87702
239.84559,41,9423.956383
-381.020057,90,9433.945954
-103.265944,1,9435.616786
-2061.945327,514,9493.91696
-296.008591,45,9500.420327
-133.61977,9,9502.948167
-317.459307,169,9523.109449
-104.424452,1,9524.754412
-245.021803,23,9528.829346
-118.677311,22,9532.810023
-104.339098,1,9534.47013
-429.336825,50,9541.516675
-564.714102,168,9561.670082
